用户ID,商品ID,品牌,商品名称,商品类别,商品类目ID,行为类型,时间戳,售价,销量
776,44,LG,LG XPS 15,笔记本电脑,2,buy,2025-10-20 16:01,7727,1
636,76,Apple,Apple R8,相机,6,buy,2025-10-20 16:42,4019,1
114,157,LG,LG Gram 17,笔记本电脑,2,buy,2025-10-20 16:45,8520,1
215,276,Apple,Apple Watch GT 4,智能手表,5,buy,2025-10-20 16:59,2684,1
769,133,Lenovo,Lenovo Surface Pro,平板电脑,3,buy,2025-10-20 17:55,3139,1
712,10,Microsoft,Microsoft Galaxy Buds2,耳机,4,buy,2025-10-20 19:12,1220,3
262,88,Lenovo,Lenovo C3,电视,7,buy,2025-10-20 19:29,4683,2
633,139,Xiaomi,Xiaomi QLED TV,电视,7,buy,2025-10-20 19:54,1937,2
398,139,Apple,Apple Apple Watch S9,智能手表,5,addbuy,2025-10-20 19:59,1055,0
20,150,LG,LG AirPods Pro,耳机,4,buy,2025-10-20 22:04,1500,3
727,51,Dell,Dell Surface Pro,平板电脑,3,addbuy,2025-10-20 22:11,4584,0
91,96,Microsoft,Microsoft P60 Pro,智能手机,1,buy,2025-10-20 23:27,3632,4
730,12,HP,HP U8K,电视,7,buy,2025-10-20 23:54,3185,2
342,251,Lenovo,Lenovo ThinkPad X1,笔记本电脑,2,buy,2025-10-21 0:19,4577,3
356,181,Huawei,Huawei iPhone 15,智能手机,1,buy,2025-10-21 0:38,4403,2
514,142,Sony,Sony R8,相机,6,addbuy,2025-10-21 0:45,7942,0
31,285,Sony,Sony Xiaomi Pad 6,平板电脑,3,addbuy,2025-10-21 0:50,2127,0
403,71,Huawei,Huawei ThinkPad X1,笔记本电脑,2,buy,2025-10-21 0:57,8505,2
695,117,Dell,Dell U8K,电视,7,buy,2025-10-21 1:02,2392,2
437,160,Microsoft,Microsoft iPhone 16,智能手机,1,buy,2025-10-21 1:42,4341,3
135,106,HP,HP Nothing Ear,耳机,4,buy,2025-10-21 1:54,1257,4
142,159,Lenovo,Lenovo Galaxy Tab S9,平板电脑,3,buy,2025-10-21 1:55,2732,2
441,75,Lenovo,Lenovo Galaxy Buds2,耳机,4,buy,2025-10-21 3:28,1500,2
70,286,Huawei,Huawei ThinkPad X1,笔记本电脑,2,buy,2025-10-21 4:25,14840,1
326,75,Samsung,Samsung Galaxy Watch 6,智能手表,5,buy,2025-10-21 5:34,3151,2
422,156,LG,LG Sony XM5,耳机,4,buy,2025-10-21 7:54,301,2
798,97,Sony,Sony XPS 15,笔记本电脑,2,buy,2025-10-21 7:59,11439,1
781,137,Huawei,Huawei MacBook Pro,笔记本电脑,2,buy,2025-10-21 8:13,5616,3
611,119,Microsoft,Microsoft Galaxy Watch 6,智能手表,5,buy,2025-10-21 8:50,3370,1
82,245,Apple,Apple FreeBuds Pro,耳机,4,buy,2025-10-21 9:22,673,1
730,192,Microsoft,Microsoft Xiaomi Pad 6,平板电脑,3,addbuy,2025-10-21 9:26,2655,0
141,84,HP,HP Xiaomi Watch 2,智能手表,5,buy,2025-10-21 10:11,1551,5
783,8,Apple,Apple Galaxy Z Flip,智能手机,1,buy,2025-10-21 10:18,2498,2
776,105,Xiaomi,Xiaomi Galaxy Buds2,耳机,4,addbuy,2025-10-21 10:24,613,0
502,167,HP,HP U8K,电视,7,addbuy,2025-10-21 10:45,1931,0
795,22,Dell,Dell X-T5,相机,6,addbuy,2025-10-21 11:09,9422,0
321,202,Dell,Dell Xiaomi 14,智能手机,1,buy,2025-10-21 11:32,6156,3
550,269,Microsoft,Microsoft Fitbit Sense,智能手表,5,buy,2025-10-21 11:34,3484,1
112,232,Apple,Apple Fitbit Sense,智能手表,5,buy,2025-10-21 12:30,3587,2
551,203,Xiaomi,Xiaomi ROG Zephyrus,笔记本电脑,2,buy,2025-10-21 12:38,11306,2
529,26,Lenovo,Lenovo Galaxy Z Flip,智能手机,1,buy,2025-10-21 12:42,6842,2
312,147,HP,HP Xiaomi Watch 2,智能手表,5,buy,2025-10-21 13:40,1526,3
628,28,Dell,Dell Galaxy S24,智能手机,1,addbuy,2025-10-21 15:02,4664,0
662,232,Huawei,Huawei Xiaomi Watch 2,智能手表,5,buy,2025-10-21 15:55,3690,2
185,300,Lenovo,Lenovo AirPods Pro,耳机,4,buy,2025-10-21 16:39,404,3
424,166,Huawei,Huawei Galaxy Z Flip,智能手机,1,buy,2025-10-21 17:07,6781,3
605,104,Huawei,Huawei Sony XM5,耳机,4,buy,2025-10-21 17:28,785,3
709,84,Sony,Sony QN90C,电视,7,buy,2025-10-21 17:31,5070,4
461,186,Samsung,Samsung Gram 17,笔记本电脑,2,addbuy,2025-10-21 17:45,5870,0
524,82,Dell,Dell Xiaomi 14,智能手机,1,buy,2025-10-21 17:57,1766,3
787,88,Dell,Dell A7 IV,相机,6,buy,2025-10-21 18:05,8285,3
149,92,Huawei,Huawei iPhone 16,智能手机,1,buy,2025-10-21 18:39,3834,2
748,229,Sony,Sony Z50,相机,6,buy,2025-10-21 18:57,2854,3
135,104,Huawei,Huawei iPhone 15,智能手机,1,addbuy,2025-10-21 18:59,3485,0
470,255,Sony,Sony iPhone 15,智能手机,1,buy,2025-10-21 19:06,1146,2
506,122,Apple,Apple GH6,相机,6,buy,2025-10-21 19:36,10247,1
420,227,HP,HP Surface Laptop,笔记本电脑,2,buy,2025-10-21 19:39,7654,2
251,281,Microsoft,Microsoft A7 IV,相机,6,addbuy,2025-10-21 20:29,3407,0
51,95,Lenovo,Lenovo XPS 15,笔记本电脑,2,buy,2025-10-21 20:47,8673,4
149,17,LG,LG Apple Watch S9,智能手表,5,buy,2025-10-21 21:04,1235,1
340,45,Microsoft,Microsoft Galaxy S24,智能手机,1,buy,2025-10-21 21:28,6559,2
166,146,Dell,Dell Galaxy Buds2,耳机,4,buy,2025-10-21 22:14,50,2
576,91,Microsoft,Microsoft P60 Pro,智能手机,1,buy,2025-10-21 22:26,6144,1
37,48,Microsoft,Microsoft FreeBuds Pro,耳机,4,buy,2025-10-21 22:56,1165,2
70,219,LG,LG Sony XM5,耳机,4,buy,2025-10-21 23:18,627,1
125,141,HP,HP Galaxy Tab S9,平板电脑,3,buy,2025-10-21 23:26,1980,2
215,108,Dell,Dell Nothing Ear,耳机,4,buy,2025-10-22 0:22,793,3
90,248,Microsoft,Microsoft Surface Pro,平板电脑,3,addbuy,2025-10-22 1:04,1831,0
438,163,Microsoft,Microsoft Watch GT 4,智能手表,5,buy,2025-10-22 1:33,3917,4
363,67,Microsoft,Microsoft P60 Pro,智能手机,1,buy,2025-10-22 2:23,3196,1
747,255,HP,HP ROG Zephyrus,笔记本电脑,2,buy,2025-10-22 3:17,14152,2
726,149,Microsoft,Microsoft iPhone 16,智能手机,1,buy,2025-10-22 3:49,4926,1
477,61,Samsung,Samsung iPhone 15,智能手机,1,buy,2025-10-22 4:37,2385,2
424,24,Microsoft,Microsoft Galaxy Z Flip,智能手机,1,addbuy,2025-10-22 5:09,6947,0
12,104,Lenovo,Lenovo Galaxy Watch 6,智能手表,5,buy,2025-10-22 5:39,2146,2
316,154,Sony,Sony AirPods Pro,耳机,4,buy,2025-10-22 6:05,1407,1
117,171,LG,LG A7 IV,相机,6,buy,2025-10-22 6:42,10382,3
30,90,Microsoft,Microsoft ROG Zephyrus,笔记本电脑,2,buy,2025-10-22 6:46,9594,1
486,19,LG,LG Xiaomi Watch 2,智能手表,5,buy,2025-10-22 7:43,1563,5
550,172,Huawei,Huawei Xiaomi Pad 6,平板电脑,3,buy,2025-10-22 8:37,2658,2
307,290,Apple,Apple U8K,电视,7,buy,2025-10-22 8:38,5299,3
549,10,LG,LG P60 Pro,智能手机,1,buy,2025-10-22 9:24,7085,1
68,77,LG,LG FreeBuds Pro,耳机,4,buy,2025-10-22 9:28,571,3
642,274,LG,LG Galaxy Z Flip,智能手机,1,buy,2025-10-22 9:39,3112,2
399,96,Microsoft,Microsoft P60 Pro,智能手机,1,buy,2025-10-22 10:15,7784,1
727,17,Sony,Sony FreeBuds Pro,耳机,4,buy,2025-10-22 10:19,1127,2
244,191,Samsung,Samsung A80L,电视,7,buy,2025-10-22 11:05,3735,3
310,90,Xiaomi,Xiaomi U8K,电视,7,buy,2025-10-22 11:52,5156,2
95,228,Apple,Apple Galaxy Buds2,耳机,4,buy,2025-10-22 12:11,270,1
158,98,HP,HP Nothing Ear,耳机,4,buy,2025-10-22 12:11,898,1
795,168,Lenovo,Lenovo FreeBuds Pro,耳机,4,buy,2025-10-22 12:20,793,1
693,68,Samsung,Samsung Surface Pro,平板电脑,3,buy,2025-10-22 12:45,2866,2
397,268,Apple,Apple Surface Laptop,笔记本电脑,2,buy,2025-10-22 14:30,7531,3
704,45,Sony,Sony iPad Pro,平板电脑,3,addbuy,2025-10-22 14:57,2250,0
534,160,Apple,Apple iPhone 15,智能手机,1,addbuy,2025-10-22 15:05,3769,0
215,165,Sony,Sony QLED TV,电视,7,buy,2025-10-22 15:31,1779,3
546,164,Sony,Sony MatePad Pro,平板电脑,3,buy,2025-10-22 15:52,3040,3
153,81,Samsung,Samsung FreeBuds Pro,耳机,4,buy,2025-10-22 16:32,1096,2
574,264,Apple,Apple Surface Pro,平板电脑,3,buy,2025-10-22 16:35,3599,1
563,164,Lenovo,Lenovo Galaxy S24,智能手机,1,buy,2025-10-22 17:13,1743,3
251,88,Sony,Sony U8K,电视,7,buy,2025-10-22 17:34,3592,4
554,228,Microsoft,Microsoft FreeBuds Pro,耳机,4,buy,2025-10-22 19:01,154,3
692,26,Apple,Apple Sony XM5,耳机,4,buy,2025-10-22 19:12,50,2
437,201,Apple,Apple AirPods Pro,耳机,4,addbuy,2025-10-22 19:39,262,0
645,229,Microsoft,Microsoft Surface Pro,平板电脑,3,buy,2025-10-22 20:50,3126,2
203,274,Sony,Sony Galaxy S24,智能手机,1,buy,2025-10-22 20:53,6030,2
135,48,HP,HP Fitbit Sense,智能手表,5,buy,2025-10-22 22:06,1307,1
467,159,HP,HP iPhone 15,智能手机,1,buy,2025-10-22 22:37,7815,2
238,115,HP,HP Galaxy Z Flip,智能手机,1,addbuy,2025-10-22 22:39,6736,0
402,94,Sony,Sony Z50,相机,6,buy,2025-10-22 22:48,4469,2
465,250,LG,LG Watch GT 4,智能手表,5,buy,2025-10-22 23:21,3805,1
360,246,HP,HP Apple Watch S9,智能手表,5,buy,2025-10-22 23:23,800,1
619,295,Sony,Sony ThinkPad X1,笔记本电脑,2,buy,2025-10-22 23:46,11443,2
732,55,Samsung,Samsung Surface Laptop,笔记本电脑,2,buy,2025-10-22 23:57,6147,2
546,237,Samsung,Samsung Galaxy S24,智能手机,1,buy,2025-10-23 0:23,3753,4
636,125,Dell,Dell Galaxy Watch 6,智能手表,5,buy,2025-10-23 0:24,2543,1
68,175,HP,HP A80L,电视,7,buy,2025-10-23 1:18,5869,5
446,291,Microsoft,Microsoft Xiaomi Pad 6,平板电脑,3,buy,2025-10-23 2:55,3360,2
679,40,Xiaomi,Xiaomi XPS 15,笔记本电脑,2,buy,2025-10-23 4:27,9684,3
611,238,Samsung,Samsung ROG Zephyrus,笔记本电脑,2,buy,2025-10-23 5:03,13456,2
181,158,Samsung,Samsung Sony XM5,耳机,4,buy,2025-10-23 5:07,800,1
702,195,Microsoft,Microsoft C3,电视,7,buy,2025-10-23 5:45,4659,2
223,72,Apple,Apple iPad Pro,平板电脑,3,buy,2025-10-23 5:45,4235,2
677,77,Apple,Apple XPS 15,笔记本电脑,2,buy,2025-10-23 5:46,13701,3
631,296,Sony,Sony Galaxy Z Flip,智能手机,1,buy,2025-10-23 5:56,4782,1
325,154,Xiaomi,Xiaomi Xiaomi 14,智能手机,1,buy,2025-10-23 6:14,4563,2
736,177,Sony,Sony A80L,电视,7,buy,2025-10-23 6:53,6318,3
523,207,Apple,Apple ROG Zephyrus,笔记本电脑,2,buy,2025-10-23 7:23,5560,1
563,28,Apple,Apple ThinkPad X1,笔记本电脑,2,buy,2025-10-23 7:39,6039,1
113,145,Lenovo,Lenovo Galaxy S24,智能手机,1,buy,2025-10-23 7:48,1166,3
605,202,Dell,Dell Gram 17,笔记本电脑,2,buy,2025-10-23 10:23,4430,2
391,223,Dell,Dell A80L,电视,7,buy,2025-10-23 10:37,6583,2
143,97,Huawei,Huawei Sony XM5,耳机,4,buy,2025-10-23 10:53,1074,2
158,148,LG,LG Sony XM5,耳机,4,buy,2025-10-23 10:58,1183,1
74,9,Huawei,Huawei MacBook Pro,笔记本电脑,2,buy,2025-10-23 11:40,14842,4
448,70,HP,HP ZV-E1,相机,6,buy,2025-10-23 12:11,4528,2
713,218,Dell,Dell Xiaomi Watch 2,智能手表,5,buy,2025-10-23 12:18,1016,3
435,283,HP,HP Fitbit Sense,智能手表,5,buy,2025-10-23 12:20,3244,2
232,96,Dell,Dell Galaxy S24,智能手机,1,buy,2025-10-23 12:50,7748,2
511,122,Apple,Apple P60 Pro,智能手机,1,addbuy,2025-10-23 13:19,4588,0
591,188,Dell,Dell ROG Zephyrus,笔记本电脑,2,buy,2025-10-23 13:27,12157,2
722,189,Microsoft,Microsoft Galaxy Z Flip,智能手机,1,buy,2025-10-23 14:47,1093,1
146,270,HP,HP Apple Watch S9,智能手表,5,buy,2025-10-23 14:51,1360,3
530,41,Sony,Sony Galaxy Z Flip,智能手机,1,addbuy,2025-10-23 15:06,7346,0
484,40,Samsung,Samsung R8,相机,6,buy,2025-10-23 16:22,10686,1
320,28,Lenovo,Lenovo P60 Pro,智能手机,1,buy,2025-10-23 16:37,6727,3
465,263,Apple,Apple Xiaomi Watch 2,智能手表,5,buy,2025-10-23 17:04,2280,2
362,151,LG,LG Surface Laptop,笔记本电脑,2,buy,2025-10-23 17:17,11780,1
612,156,Apple,Apple Xiaomi 14,智能手机,1,addbuy,2025-10-23 17:26,3254,0
593,87,Apple,Apple Sony XM5,耳机,4,buy,2025-10-23 19:15,1137,3
640,14,Sony,Sony Xiaomi 14,智能手机,1,addbuy,2025-10-23 19:29,5518,0
518,40,Samsung,Samsung XPS 15,笔记本电脑,2,buy,2025-10-23 20:29,8747,3
288,141,Huawei,Huawei ROG Zephyrus,笔记本电脑,2,buy,2025-10-23 20:36,8481,2
179,78,Samsung,Samsung Nothing Ear,耳机,4,addbuy,2025-10-23 20:42,383,0
268,121,LG,LG iPhone 16,智能手机,1,addbuy,2025-10-23 20:43,6427,0
352,44,Lenovo,Lenovo C3,电视,7,addbuy,2025-10-23 21:11,5364,0
771,212,Huawei,Huawei Galaxy Z Flip,智能手机,1,buy,2025-10-23 21:23,2292,3
744,86,Xiaomi,Xiaomi Xiaomi Watch 2,智能手表,5,buy,2025-10-23 22:16,3951,1
658,136,LG,LG iPad Pro,平板电脑,3,buy,2025-10-23 22:33,3322,2
476,205,Apple,Apple X90L,电视,7,buy,2025-10-24 0:04,7547,2
771,273,HP,HP Gram 17,笔记本电脑,2,buy,2025-10-24 0:10,11756,4
269,75,Dell,Dell Galaxy Z Flip,智能手机,1,buy,2025-10-24 1:03,2908,1
460,196,Apple,Apple ThinkPad X1,笔记本电脑,2,buy,2025-10-24 1:43,12712,1
545,182,Apple,Apple MacBook Pro,笔记本电脑,2,buy,2025-10-24 2:22,9243,4
277,137,Sony,Sony QN90C,电视,7,buy,2025-10-24 3:12,5149,1
599,201,Sony,Sony Xiaomi 14,智能手机,1,buy,2025-10-24 3:49,7422,4
689,100,Xiaomi,Xiaomi QLED TV,电视,7,buy,2025-10-24 4:16,5472,1
561,6,Huawei,Huawei Z50,相机,6,buy,2025-10-24 4:19,10490,5
101,269,Apple,Apple Surface Laptop,笔记本电脑,2,buy,2025-10-24 4:20,4000,4
225,146,HP,HP MatePad Pro,平板电脑,3,buy,2025-10-24 5:27,2501,2
635,48,Apple,Apple Apple Watch S9,智能手表,5,buy,2025-10-24 5:53,1729,3
654,63,Xiaomi,Xiaomi U8K,电视,7,buy,2025-10-24 6:35,2069,1
385,290,Microsoft,Microsoft R8,相机,6,buy,2025-10-24 6:52,3809,5
302,240,Huawei,Huawei Watch GT 4,智能手表,5,buy,2025-10-24 6:56,1412,3
788,219,HP,HP FreeBuds Pro,耳机,4,buy,2025-10-24 6:59,1240,3
166,38,LG,LG FreeBuds Pro,耳机,4,addbuy,2025-10-24 7:30,1500,0
398,171,Apple,Apple Xiaomi Pad 6,平板电脑,3,buy,2025-10-24 7:45,3968,2
452,36,Sony,Sony iPhone 16,智能手机,1,buy,2025-10-24 7:51,1424,4
183,252,Microsoft,Microsoft Galaxy Z Flip,智能手机,1,buy,2025-10-24 8:09,4930,1
224,55,Lenovo,Lenovo A80L,电视,7,buy,2025-10-24 8:10,2261,1
36,38,Sony,Sony AirPods Pro,耳机,4,buy,2025-10-24 8:33,1120,1
20,255,Sony,Sony Sony XM5,耳机,4,buy,2025-10-24 8:42,286,1
681,200,Apple,Apple MacBook Pro,笔记本电脑,2,buy,2025-10-24 9:24,6572,2
589,2,LG,LG Sony XM5,耳机,4,buy,2025-10-24 9:34,472,2
447,207,HP,HP Sony XM5,耳机,4,addbuy,2025-10-24 9:50,1267,0
394,247,Xiaomi,Xiaomi A7 IV,相机,6,buy,2025-10-24 9:50,3224,1
342,156,Lenovo,Lenovo Watch GT 4,智能手表,5,buy,2025-10-24 9:52,1386,4
548,175,Samsung,Samsung Watch GT 4,智能手表,5,buy,2025-10-24 10:06,2268,2
208,91,Sony,Sony Xiaomi 14,智能手机,1,buy,2025-10-24 10:23,1694,1
307,200,Dell,Dell Galaxy Buds2,耳机,4,addbuy,2025-10-24 10:47,1005,0
87,225,LG,LG Surface Laptop,笔记本电脑,2,buy,2025-10-24 10:56,5871,1
198,13,Huawei,Huawei iPhone 15,智能手机,1,buy,2025-10-24 11:28,6920,2
399,33,Xiaomi,Xiaomi Galaxy Z Flip,智能手机,1,buy,2025-10-24 12:20,6999,3
547,231,Sony,Sony Galaxy Z Flip,智能手机,1,buy,2025-10-24 13:00,7570,2
346,22,LG,LG A7 IV,相机,6,buy,2025-10-24 13:01,2086,3
470,275,Xiaomi,Xiaomi Surface Pro,平板电脑,3,addbuy,2025-10-24 13:18,4681,0
74,19,Microsoft,Microsoft R8,相机,6,addbuy,2025-10-24 13:21,4619,0
634,24,Apple,Apple X-T5,相机,6,buy,2025-10-24 13:29,4369,1
177,26,Huawei,Huawei iPhone 15,智能手机,1,buy,2025-10-24 15:23,3147,1
175,33,HP,HP Surface Pro,平板电脑,3,buy,2025-10-24 15:27,3866,4
610,113,Samsung,Samsung Galaxy Z Flip,智能手机,1,buy,2025-10-24 15:45,7553,1
756,206,Dell,Dell ThinkPad X1,笔记本电脑,2,buy,2025-10-24 16:11,4936,1
141,165,Microsoft,Microsoft Nothing Ear,耳机,4,buy,2025-10-24 16:43,575,3
178,172,Apple,Apple ROG Zephyrus,笔记本电脑,2,buy,2025-10-24 17:05,7684,2
776,213,Sony,Sony Galaxy Watch 6,智能手表,5,buy,2025-10-24 17:05,919,1
169,225,LG,LG Nothing Ear,耳机,4,buy,2025-10-24 17:15,550,2
103,193,Apple,Apple Galaxy Tab S9,平板电脑,3,buy,2025-10-24 17:35,3592,2
83,4,Apple,Apple Xiaomi Watch 2,智能手表,5,buy,2025-10-24 17:37,3865,1
668,146,Samsung,Samsung QLED TV,电视,7,addbuy,2025-10-24 17:49,1500,0
130,106,HP,HP Xiaomi 14,智能手机,1,buy,2025-10-24 17:50,4564,1
462,211,Sony,Sony Surface Pro,平板电脑,3,buy,2025-10-24 17:52,2799,3
611,93,Microsoft,Microsoft AirPods Pro,耳机,4,buy,2025-10-24 18:05,428,4
309,179,Samsung,Samsung Gram 17,笔记本电脑,2,buy,2025-10-24 18:09,12303,3
197,61,Lenovo,Lenovo Galaxy Tab S9,平板电脑,3,buy,2025-10-24 18:31,4732,1
780,277,Microsoft,Microsoft Z50,相机,6,addbuy,2025-10-24 19:02,10534,0
676,107,HP,HP QLED TV,电视,7,buy,2025-10-24 19:45,5569,1
153,243,Xiaomi,Xiaomi MacBook Pro,笔记本电脑,2,buy,2025-10-24 19:51,8355,1
56,187,Huawei,Huawei AirPods Pro,耳机,4,buy,2025-10-24 19:56,958,2
343,233,Dell,Dell FreeBuds Pro,耳机,4,buy,2025-10-24 19:59,540,5
181,81,Apple,Apple Nothing Ear,耳机,4,buy,2025-10-24 20:25,50,1
119,37,HP,HP P60 Pro,智能手机,1,buy,2025-10-24 20:58,7248,1
594,167,HP,HP P60 Pro,智能手机,1,buy,2025-10-24 20:59,3096,2
798,57,LG,LG Galaxy Watch 6,智能手表,5,buy,2025-10-24 22:12,2417,5
756,212,Samsung,Samsung X90L,电视,7,addbuy,2025-10-24 22:13,4087,0
483,300,Xiaomi,Xiaomi A7 IV,相机,6,buy,2025-10-24 22:34,5268,3
222,233,Dell,Dell Galaxy Buds2,耳机,4,buy,2025-10-24 23:06,869,2
469,100,LG,LG iPhone 16,智能手机,1,buy,2025-10-25 0:01,2456,3
344,66,Sony,Sony iPhone 16,智能手机,1,buy,2025-10-25 0:34,6160,5
288,70,Microsoft,Microsoft AirPods Pro,耳机,4,buy,2025-10-25 1:17,269,3
176,176,HP,HP Surface Laptop,笔记本电脑,2,buy,2025-10-25 1:28,5858,1
654,88,Microsoft,Microsoft Galaxy Buds2,耳机,4,buy,2025-10-25 2:12,451,1
422,268,Xiaomi,Xiaomi AirPods Pro,耳机,4,buy,2025-10-25 2:15,1316,5
474,143,Microsoft,Microsoft Sony XM5,耳机,4,buy,2025-10-25 3:14,961,2
253,127,Dell,Dell Xiaomi 14,智能手机,1,buy,2025-10-25 3:35,1291,1
606,77,Microsoft,Microsoft X90L,电视,7,buy,2025-10-25 4:20,4203,3
42,241,Dell,Dell iPhone 15,智能手机,1,buy,2025-10-25 4:36,5501,2
436,272,Lenovo,Lenovo Apple Watch S9,智能手表,5,buy,2025-10-25 5:04,3997,1
508,124,Samsung,Samsung Galaxy Z Flip,智能手机,1,buy,2025-10-25 5:23,4275,3
224,68,Apple,Apple Sony XM5,耳机,4,buy,2025-10-25 5:58,305,1
93,9,Xiaomi,Xiaomi Xiaomi 14,智能手机,1,addbuy,2025-10-25 6:00,3887,0
721,236,Sony,Sony Galaxy Buds2,耳机,4,addbuy,2025-10-25 6:02,1174,0
466,238,Microsoft,Microsoft MacBook Pro,笔记本电脑,2,buy,2025-10-25 6:10,13527,1
380,238,Dell,Dell XPS 15,笔记本电脑,2,buy,2025-10-25 6:14,6431,2
708,171,Samsung,Samsung Surface Laptop,笔记本电脑,2,buy,2025-10-25 7:09,14177,3
771,139,Sony,Sony Galaxy Z Flip,智能手机,1,buy,2025-10-25 7:15,5165,2
213,42,Lenovo,Lenovo Fitbit Sense,智能手表,5,buy,2025-10-25 8:54,3772,1
691,187,Apple,Apple GH6,相机,6,buy,2025-10-25 9:05,7676,1
477,21,Dell,Dell Z50,相机,6,buy,2025-10-25 9:10,2700,5
722,35,Huawei,Huawei Nothing Ear,耳机,4,buy,2025-10-25 9:51,785,1
343,123,Xiaomi,Xiaomi iPhone 16,智能手机,1,buy,2025-10-25 10:20,5756,3
771,298,HP,HP Xiaomi 14,智能手机,1,buy,2025-10-25 10:38,5278,3
362,137,Xiaomi,Xiaomi Watch GT 4,智能手表,5,buy,2025-10-25 11:00,3585,3
56,33,Dell,Dell Z50,相机,6,buy,2025-10-25 11:33,10398,1
514,270,HP,HP Galaxy Z Flip,智能手机,1,buy,2025-10-25 11:40,4030,2
545,273,HP,HP Xiaomi 14,智能手机,1,addbuy,2025-10-25 14:09,7657,0
690,34,Microsoft,Microsoft Z50,相机,6,buy,2025-10-25 15:46,6819,2
401,92,Samsung,Samsung MacBook Pro,笔记本电脑,2,addbuy,2025-10-25 16:14,7119,0
283,58,Samsung,Samsung iPhone 16,智能手机,1,buy,2025-10-25 16:20,3201,2
534,12,Huawei,Huawei Galaxy Tab S9,平板电脑,3,buy,2025-10-25 16:50,2766,1
486,178,Lenovo,Lenovo Galaxy Buds2,耳机,4,buy,2025-10-25 16:52,663,1
194,33,Apple,Apple Galaxy S24,智能手机,1,buy,2025-10-25 16:53,4468,2
422,297,Lenovo,Lenovo Watch GT 4,智能手表,5,buy,2025-10-25 17:01,808,2
608,272,LG,LG Surface Laptop,笔记本电脑,2,buy,2025-10-25 17:17,9751,4
312,291,HP,HP Galaxy Z Flip,智能手机,1,buy,2025-10-25 18:11,7976,2
233,248,Huawei,Huawei Z50,相机,6,buy,2025-10-25 18:46,4117,4
362,146,Apple,Apple iPhone 16,智能手机,1,buy,2025-10-25 19:22,3993,1
729,275,Microsoft,Microsoft XPS 15,笔记本电脑,2,buy,2025-10-25 19:36,11354,1
710,79,Huawei,Huawei Xiaomi 14,智能手机,1,buy,2025-10-25 19:47,3229,1
325,295,Samsung,Samsung iPhone 15,智能手机,1,buy,2025-10-25 20:00,2241,3
189,106,Sony,Sony FreeBuds Pro,耳机,4,addbuy,2025-10-25 21:56,334,0
353,76,Apple,Apple Watch GT 4,智能手表,5,buy,2025-10-25 21:57,3265,2
547,155,Lenovo,Lenovo iPhone 16,智能手机,1,buy,2025-10-25 22:51,4083,3
787,75,Dell,Dell Galaxy Z Flip,智能手机,1,buy,2025-10-25 23:14,1807,3
757,280,Huawei,Huawei MacBook Pro,笔记本电脑,2,buy,2025-10-25 23:29,11467,2
297,294,Sony,Sony Xiaomi Pad 6,平板电脑,3,buy,2025-10-26 0:03,5625,3
706,58,HP,HP Z50,相机,6,buy,2025-10-26 0:21,4498,2
120,158,Huawei,Huawei Surface Pro,平板电脑,3,buy,2025-10-26 1:16,5243,1
457,183,Microsoft,Microsoft X90L,电视,7,buy,2025-10-26 2:17,1708,3
657,100,Apple,Apple Nothing Ear,耳机,4,buy,2025-10-26 2:31,206,1
24,43,Sony,Sony Galaxy Tab S9,平板电脑,3,addbuy,2025-10-26 2:40,5725,0
404,100,Samsung,Samsung P60 Pro,智能手机,1,buy,2025-10-26 3:04,5438,3
524,29,Microsoft,Microsoft Nothing Ear,耳机,4,buy,2025-10-26 4:08,1016,4
379,198,Huawei,Huawei Xiaomi Pad 6,平板电脑,3,buy,2025-10-26 4:14,4460,2
360,158,Sony,Sony ThinkPad X1,笔记本电脑,2,buy,2025-10-26 4:40,9914,2
746,228,Samsung,Samsung X90L,电视,7,buy,2025-10-26 5:07,5237,3
746,218,Sony,Sony Galaxy Tab S9,平板电脑,3,buy,2025-10-26 5:42,4930,3
613,45,Huawei,Huawei P60 Pro,智能手机,1,buy,2025-10-26 5:45,6980,2
538,172,Sony,Sony Sony XM5,耳机,4,buy,2025-10-26 6:19,250,2
7,210,Dell,Dell MacBook Pro,笔记本电脑,2,buy,2025-10-26 7:22,5185,4
570,237,Dell,Dell iPhone 16,智能手机,1,buy,2025-10-26 7:28,6172,3
191,196,Huawei,Huawei X90L,电视,7,buy,2025-10-26 7:35,7408,3
310,300,HP,HP C3,电视,7,buy,2025-10-26 9:09,3954,2
475,115,Lenovo,Lenovo QLED TV,电视,7,buy,2025-10-26 9:14,4041,3
308,242,Huawei,Huawei Galaxy S24,智能手机,1,buy,2025-10-26 10:05,1020,1
184,252,Sony,Sony Sony XM5,耳机,4,buy,2025-10-26 10:23,438,2
123,142,Xiaomi,Xiaomi iPhone 15,智能手机,1,buy,2025-10-26 10:31,6764,2
596,247,Microsoft,Microsoft MatePad Pro,平板电脑,3,addbuy,2025-10-26 11:25,5373,0
711,62,Sony,Sony Xiaomi Watch 2,智能手表,5,buy,2025-10-26 11:41,3139,1
266,84,Microsoft,Microsoft AirPods Pro,耳机,4,buy,2025-10-26 12:00,876,2
710,70,LG,LG Xiaomi Pad 6,平板电脑,3,buy,2025-10-26 12:12,1853,2
370,215,Apple,Apple FreeBuds Pro,耳机,4,buy,2025-10-26 12:35,664,3
